Accession Number,Title,Subject,Description,Period,Creator,Place of Origin,Condition,Notes,Location,Contributor/  Donor,Filenames
2009.01.199,"harvé benard brown wool, nylon and cashmere wrap",Costume; Accessories; Shawls,"Brown 65% wool, 25% nylon, and 10% recycled cashmere wrap. Label reads: ""harvé benard by Bernard Holtzman""",Before 2009,Bernard Holtzman,,Perfect condition.,One of many wraps of this type owned by donor.,Box 203,Kathleen Kubas,
2009.01.200,Chloe brown wool kimono style coat,Costume; Garments; Dress,"Brown wool kimono style coat, no closure, bronze decorative buttons on sleeves.",Before 2009,Chloe,,Good condition. Small hole near waist.,Loose fitting coat without closures.,KHW66C,Kathleen Kubas,
2009.01.201,Black cotton T-shirt with gold lame Japanese text design,Costume; Garments; Blouses,"Black cotton T-shirt with gold lame Japanese text design. Label reads: ""EP in Tokyo, Made in Japan, 100% cotton""",Before 2009,EP,Japan,Near Perfect condition.,,KHW66C Rack #4,Kathleen Kubas,
2009.01.202,Holt Renfrew black Persian lamb vest with black mink collar.,Costume; Garments; Vests,Black Persian lamb vest with black mink collar.,Before 2009,Holt Renfrew,,Good condition.,,KHW64B,Kathleen Kubas,
2009.01.203,Mario Valentino brown suede and Persian lamb jacket,Costume; Garments; Jackets,"Brown suede and Persian lamb jacket. Round collar, snap front closures. Constructed in alternating bands of suede and lamb. ",Before 2009,Mario Valentino,Italy,Good condition. Jacket is stiff.,"Label reads: ""Mario Valentino, Made in Italy""",KHW64B,Kathleen Kubas,
2009.01.204,Hilary Radley apricot coloured suede jacket with faux fur collar ,Costume; Garments; Jackets,"Apricot coloured suede jacket with faux fur collar, snap front closures",Before 2009,Hilary Radley ,Canada,Good condition.,Made in Canada label.,KHW64B,Kathleen Kubas,
2009.01.205,Gray suede jacket lined in Mongolian fur. ,Costume; Garments; Jackets,Gray suede jacket lined in Mongolian fur. Front button closure.,Before 2009,Unknown,,Good condition.,Donor had an affinity for this type of fur.,KHW64B,Kathleen Kubas,
2009.01.206,Donna Karan New York brown suede bodysuit ,Costume; Garments; Blouses,Brown suede shirt/bodysuit. Top is suede and bottom part is black ribbed knit with snaps at crotch. Top overlaps with no closures. Large shoulder pads. ,1985-1995,Donna Karan New York. ,France,Good condition.,"Label reads: ""Donna Karan New York. Made in France""",KHW64B,Kathleen Kubas,
2009.01.207,Donna Karan New York dark brown suede bodysuit with collar,Costume; Garments; Blouses,Dark brown suede shirt/bodysuit with collar and front button closures. Top is suede and bottom part is black ribbed knit with snaps at crotch. Large shoulder pads. ,1985-1995,Donna Karan New York,France,Good condition.,"Label reads: ""Donna Karan New York. Made in France""",KHW64B,Kathleen Kubas,
2009.01.208,Amen Wardy red wool car coat with roll collar,Costume; Garments; Coats,Red wool car coat with roll collar and front button closures. Diagonal  welt pockets.,Before 2009,Amen Wardy,,Near Perfect condition.,The way the sleeve is inset is unusual. ,KHW64A,Kathleen Kubas,
2009.01.209,Blassport gray wool cape coat with collar ,Costume; Garments; Coats,Gray wool cape coat with collar and 4-button placket closure,Before 2009,Blassport,,Near Perfect condition.,Coat/cape has no tailoring except at collar.,KHW66C,Kathleen Kubas,
2009.01.210,Black jersey tunic top with exaggerated sleeves and matching trousers,Costume; Garments; Blouses; Trousers,A. Black jersey tunic blouse/top with exaggerated sleeves and scalloped hem. Image of peacock on front. B. Black jersey womenswear trousers with elastic waist. ,Before 2009,Unknown,,Near Perfect condition.,Sleeve and top are cut as single piece. ,KHW64A,Kathleen Kubas,
2009.01.211,Ellen Tracy canary yellow cotton jacket,Costume; Garments; Jackets,Canary yellow cotton and spandex jacket. Creamy white lapel and cuffs. No closures on jacket. ,1990-2000,Linda Allard ,,Good condition. Collar is a little dirty.,"Label reads: ""Linda Allard for Ellen Tracy""",KHW64A,Kathleen Kubas,
2009.01.212,Moschino Couture cream silk/wool jacket with trompe d'oleil decorative detail,Costume; Garments; Jackets,Cream silk/wool jacket with trompe d'oleil decorative detail. ,1990-1995,Moschino Couture,Italy,Near Perfect condition.,Whimsical design. Fabric is a blend of 68% wool and 32% silk.,KHW66C,Kathleen Kubas,
2009.01.213,"Moschino Couture black sleeveless  top with  embroidered ""Ciao!"" on front ",Costume; Garments; Blouses,"Black sleeveless acetate top with back zipper closure. Gold embroidery ""Ciao!"" on front of bodice.",1990-1995,Moschino Couture,Italy,Very good condition.,Whimsical design,KHW66C,Kathleen Kubas,
2009.01.214,Gianfranco Ferre pink wool jacket with large patch pockets,Costume; Garments; Jackets,Pink wool single breasted hip-length jacket with large patch pockets. ,1990-1995,Gianfranco Ferre,Italy,Good condition.,"Label reads: ""Gianfranco Ferre, Made in Italy, Size 40.""",KHW66C,Kathleen Kubas,
2009.01.215,"Donna Karan black wool jersey knit dress with long sleeves, slightly gathered at waist, wrap front closure.",Costume; Garments; Dress,"Black wool jersey knit dress with long sleeves, slightly gathered at waist, wrap front closure.",1985-1995,Donna Karan,USA,Very good condition.,Made in USA label.,KHW66C,Kathleen Kubas,
2009.01.216_A+B+C,"Donna Karan New York brown knit skirt, sweater and bodysuit",Costume; Garments; Skirts; Sweaters,A. Brown knit skirt with oversize banded waist and front button closure.  B. Matching oversize knit sweater. C. Matching sweater top/bodysuit,Before 2009,Donna Karan New York ,USA,Very good condition.,Convertible skirt that can be worn as a dress as well. Band can be folded up or down to act as top or as waistband. Made in USA label.,Box 202,Kathleen Kubas,
2009.01.217,Donna Karan New York gray wool dress with raglan sleeves,Costume; Garments; Dress,"Gray wool dress with raglan sleeves, gathered elastic waist",1985-1995,Donna Karan New York,USA,Very good condition.,Size small,KHW66C,Kathleen Kubas,
2009.01.218,Holt Renfrew black cashmere cape trimmed with chinchilla,Costume; Garments; Capes,Black cashmere cape/wrap trimmed with chinchilla cut into floral-like balls around ruffled hem.,Before 2009,Holt Renfrew,,Very good condition.,Very similar to 2009.01.219,KHW64B,Kathleen Kubas,
2009.01.219,Cape 905 black cashmere cape trimmed with chinchilla,Costume; Garments; Capes,Black cashmere cape trimmed with chinchilla. ,Before 2009,Cape 905,Canada,Very good condition.,Statement piece. Tags still attached. Likely unworn. Made in Canada label.,KHW64B,Kathleen Kubas,"/home/pchurch/Programming/fashion/Marinas Images/FRC_Coats_2009.01.219_Det_2_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Coats_2009.01.219_RGT_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Coats_2009.01.219_LBL_2_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Coats_2009.01.219_BCK_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Coats_2009.01.219_Det_1_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Coats_2009.01.219_F34_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Coats_2009.01.219_FRT_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Coats_2009.01.219_LBL_1_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Coats_2009.01.219_B34_Web.jpg"
2009.01.220_A+B,Donna Karan fuschia pink wool jacket and matching bathrobe style coat,Costume; Garments; Coats; Jackets,A. Fuschia pink angora/wool hip-length blazer with welt pockets and self-fabric buttons. B. Matching bathrobe style coat.,Before 2009,Donna Karan,,Good condition.,Bold vivid colour.,KHW66C,Kathleen Kubas,
2009.01.221A+B+C,"Donna Karan Black Label cashmere sweater, wrap skirt and coat",Costume; Garments; Sweaters; Skirts; Coats,A. Dark gray cashmere long sleeve sweater top. B. Matching cashmere wrap skirt. C. Matching blanket hip-length coat with funnel collar. Velcro closure and overwrap shawl.,Before 2009,Donna Karan Black Label,,Very good condition.,Luxurious cashmere. Blanket like coat.,KHW66C,Kathleen Kubas,
2009.01.222,Emerald green boucle wool jacket with hood,Costume; Garments; Jackets,Emerald green boucle wool jacket with hood. Trimmed around hood with black boucle wool. Front zipper closure with leather piping. Slash pockets. Lined in green satin.,Before 2009,Unknown,,Very good condition.,Bold colour. Very heavy piece.,KHW64A,Kathleen Kubas,
2009.01.224,Saville Petites mauve linen jacket,Costume; Garments; Jackets,"Mauve linen jacket, collarless with front button closure. Front welt pockets. Sleeves have decorative button at cuffs. Lined in purple silk/polyester. Label reads: ""Saville Petites, Size 10. Made in USA""",1990-1999,Saville Petites,USA,Good condition.,,KHW64A,Kathleen Kubas,
2009.01.225,Black wool oversize knit sweater coat with draped overpanels,Costume; Garments; Sweaters,Black wool oversize knit sweater coat with draped overpanels,Before 2009,Unknown,,"Good condition, somewhat stretched out from being stored on hanger. ",,Box 201,Kathleen Kubas,
2009.01.226_A+B,Dolce & Gabbana fur and suede hand-painted jacket,Costume; Garments; Jackets,Fur and suede jacket with tie belt. Lining hand-painted in floral design .,Before 2009,Dolce & Gabbana,,Good condition.,Painted lining detail is beauitful. Was worn with 2009.01.227,KHW66C,Kathleen Kubas,"/home/pchurch/Programming/fashion/Marinas Images/FRC_2pcEnsembles_2009.01.226_A+B_2009.01.227_RGT_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_2pcEnsembles_2009.01.226_A+B_2009.01.227_Det_12_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_2pcEnsembles_2009.01.226_A+B_2009.01.227_LBL_1_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_2pcEnsembles_2009.01.226_A+B_2009.01.227_B34_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_2pcEnsembles_2009.01.226_A+B_2009.01.227_INS_2_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_2pcEnsembles_2009.01.226_A+B_2009.01.227_Det_3_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_2pcEnsembles_2009.01.226_A+B_2009.01.227_INS_5_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_2pcEnsembles_2009.01.226_A+B_2009.01.227_F34_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_2pcEnsembles_2009.01.226_A+B_2009.01.227_Det_8_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_2pcEnsembles_2009.01.226_A+B_2009.01.227_Det_4_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_2pcEnsembles_2009.01.226_A+B_2009.01.227_BCK_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_2pcEnsembles_2009.01.226_A+B_2009.01.227_Det_16_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_2pcEnsembles_2009.01.226_A+B_2009.01.227_Det_1_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_2pcEnsembles_2009.01.226_A+B_2009.01.227_FRT_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_2pcEnsembles_2009.01.226_A+B_2009.01.227_LBL_2_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_2pcEnsembles_2009.01.226_A+B_2009.01.227_Det_5_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_2pcEnsembles_2009.01.226_A+B_2009.01.227_Det_2_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_2pcEnsembles_2009.01.226_A+B_2009.01.227_Det_15_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_2pcEnsembles_2009.01.226_A+B_2009.01.227_Det_6_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_2pcEnsembles_2009.01.226_A+B_2009.01.227_INS_3_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_2pcEnsembles_2009.01.226_A+B_2009.01.227_INS_1_Web.jpg"
2009.01.227,Gray suede wrap skirt,Costume; Garments; Skirts,Gray suede long wrap skirt.,Before 2009,Unknown,,Good condition.,See 2009.01.226,KHW66C,Kathleen Kubas,"/home/pchurch/Programming/fashion/Marinas Images/FRC_2pcEnsembles_2009.01.226_A+B_2009.01.227_RGT_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_2pcEnsembles_2009.01.226_A+B_2009.01.227_Det_12_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_2pcEnsembles_2009.01.226_A+B_2009.01.227_LBL_1_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_2pcEnsembles_2009.01.226_A+B_2009.01.227_B34_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_2pcEnsembles_2009.01.226_A+B_2009.01.227_INS_2_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_2pcEnsembles_2009.01.226_A+B_2009.01.227_Det_3_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_2pcEnsembles_2009.01.226_A+B_2009.01.227_INS_5_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_2pcEnsembles_2009.01.226_A+B_2009.01.227_F34_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_2pcEnsembles_2009.01.226_A+B_2009.01.227_Det_8_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_2pcEnsembles_2009.01.226_A+B_2009.01.227_Det_4_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_2pcEnsembles_2009.01.226_A+B_2009.01.227_BCK_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_2pcEnsembles_2009.01.226_A+B_2009.01.227_Det_16_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_2pcEnsembles_2009.01.226_A+B_2009.01.227_Det_1_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_2pcEnsembles_2009.01.226_A+B_2009.01.227_FRT_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_2pcEnsembles_2009.01.226_A+B_2009.01.227_LBL_2_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_2pcEnsembles_2009.01.226_A+B_2009.01.227_Det_5_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_2pcEnsembles_2009.01.226_A+B_2009.01.227_Det_2_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_2pcEnsembles_2009.01.226_A+B_2009.01.227_Det_15_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_2pcEnsembles_2009.01.226_A+B_2009.01.227_Det_6_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_2pcEnsembles_2009.01.226_A+B_2009.01.227_INS_3_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_2pcEnsembles_2009.01.226_A+B_2009.01.227_INS_1_Web.jpg"
2009.01.228,Jean Paul Gaultier Maille black knit sweater jacket with mink collar,Costume; Garments; Sweaters; Jackets; ,"Black knit (wool, nylon and Spandex) sweater jacket with patch pockets and front snap closures. Gathered sleeves, shoulder pads. Champagne coloured faux mink collar.",Before 2009,Jean Paul Gaultier ,Italy,Very good condition.,"Label reads: ""Jean Paul Gaultier Maille, Made in Italy"". Composition: 90% virgin wool, 7% nylon, 3% spandex.",KHW66C,Kathleen Kubas,
2009.01.229,Dolce & Gabbana black knit sweater jacket with black fur shawl collar and cuffs,Costume; Garments; Jackets,Black knit sweater jacket with black fur shawl collar and cuffs (fur might be man-made). Leather belt.  ,Before 2009,Dolce & Gabbana,Italy,Good condition.,Made in Italy label.,KHW64B,Kathleen Kubas,
2009.01.230,Holt Renfrew black Persian lamb jacket with wolf trim,Costume; Garments; ; Jackets,Black Persian lamb jacket with wolf trim at neckline and cuffs. Sleeves made of black suede. Jacket lined in brown printed satin. Front zip closures and fur pompoms. Size M,Before 2009,Holt Renfrew,,Good condition.,,KHW64B,Kathleen Kubas,
2009.01.231,Mario Valentino black Mongolian fur jacket,Costume; Garments; Outerwear; Jackets,"Black Mongolian fur jacket mid-thigh length, no closures. Lined in black satin. Label reads: ""Mario Valentino, Made in Italy""",Before 2009,Mario Valentino,Italy,Good condition.,One of many of this type of jacket owned by donor.,KHW64B,Kathleen Kubas,
2009.01.232,Joske's Fur Salon cream coloured Mongolian fur jacket,Costume; Garments; Outerwear; Jacket,"Cream coloured Mongolian fur jacket, mid-thigh length. Concealed clasp closures. Lined in cream satin. Embroidered with ""Le C O""",Before 2009,Joske's Fur Salon,,Very good condition.,,KHW64B,Kathleen Kubas,
2009.01.233_A+B+C,Louis Feraud Couture red Mongolian fur jacket with belts ,Costume; Garments; Outerwear; Jackets,"A. Red Mongolian fur jacket, knee  length, no closures. Lined in black satin. B and C. Matching fur belts, 2-inches wide. Label reads: ""Louis Feraud Couture, Salon Elegance Haute Fourriere""",Before 2009,Louis Feraud ,,Very good condition.,Bold vibrant statement fur. Kathleen Kubas embroidered inside coat.,KHW64B,Kathleen Kubas,
2009.01.234,Holt Renfrew black sable fur coat,Costume; Garments; Outerwear; Coats,"Black sable fur coat, lined in black satin. Sleeves are full near wrist and shaped to small cuff. Shawl collar. Concealed clasp near neckline.",Before 2009,Holt Renfrew,,Good condition.,"Kathleen Kubas embroidered into lining. Estee Lauder ""Frosted Apricot"" lipstick found in pocket and discarded. ",KHW64A,Kathleen Kubas,
2009.01.235A+B,Birger Christensen purple Mongolian fur jacket,Costume; Garments; Jackets,"A. Purple Mongolian fur jacket, mid-thigh length concealed single clasp closure near chest. B. Matching 4-inch wide fur belt. Retailer label: Holt Renfrew",Before 2009,Birger Christensen,,Very good condition.,Bold statement look,KHW64B,Kathleen Kubas,
2009.01.236_A+B,State of Claude Montana navy wool cropped jacket with black leather collar,Costume; Garments; Jackets,A. Navy wool cropped jacket with black leather collar. Attached gold buckle at waist for closure. Vertical welt pockets. B. Matching calf length wrap skirt.,1980-1990,Claude Montana,Italy,Very good condition.,"Label reads: ""State of Claude Montana. Made in Italy"".",KHW66C,Kathleen Kubas,
2009.01.237,ELIOMODE black long sleeve knit top ,Costume; Garments; Sweaters,Black long sleeve knit top.,Before 2009,ELIOMODE,,Fair condition. Some pilling of wool. ,,Box 203,Kathleen Kubas,
2009.01.238_,Eskandar brown silk sleeveless top,Costume; Garments; Blouses,"Brown brocaded silk tafetta sleeveless top with stand collar, asymmetrical closure. ",2000-2008,Eskandar,,Good condition.,Meant to be worn with 2009.01.239,KHW66C,Kathleen Kubas,
2009.01.239,Eskandar cream linen knee-length over-vest,Costume; Garments; Vests,Cream linen knee-length vest.,2000-2008,Eskandar,,Good condition.,Meant to be worn with 2009.01.238,KHW66C,Kathleen Kubas,
2009.01.240,Sunshine yellow silk long blouse,Costume; Garments; Blouses,"Sunshine yellow silk long blouse/shirt with side slits, mandarin collar, long sleeves, front button closure. Sleeves are wide and tapered to wrist. Label is not legible. ",Before 2009,Unknown,,Very good condition.,"Same colour as 2009.01.241, possibly meant to be worn together.",KHW64A,Kathleen Kubas,
2009.01.241,Sunshine yellow cotton long-sleeved T-shirt top,Costume; Garments; Blouses,Sunshine yellow cotton long-sleeved T-shirt top. ,Before 2009,Spanner Sport ,Hong Kong,Very good condition.,"Label reads: ""Spanner Sport 100% Cotton, Made in Hong Kong""",KHW66C,Kathleen Kubas,
2009.01.242,Calvin Klein black cashmere scoop neck dress with short sleeves,Costume; Garments; Dress,Black cashmere scoop neck dress with short sleeves. ,Before 2009,Calvin Klein,Hong Kong,Good condition.,"Label reads: Calvin Klein, Made in Hong Kong, Holt Renfrew Boutique""",Box 200,Kathleen Kubas,
2009.01.243,Orange terry-cloth womenswear jacket,Costume; Garments; Jackets,"Orange terry-cloth womenswear jacket, no closures. Lined in polyester. ",Before 2009,EQ-IQ,China,Good condition.,"Label reads: ""EQ-IQ, Made in China. Size 8"". Fabric is 42% cotton, 34% nylon, 24% acrylic.",KHW64A,Kathleen Kubas,
2009.01.244,Garfield & Marks black womenswear jacket with cream lapel,Costume; Garments; Jackets,Black womenswear jacket with cream lapel. No closures. Lined in black polyester. ,Before 2009,Garfield & Marks,USA,Good condition.,"Label reads: ""Garfield & Marks, Made in USA. Size 8""",KHW64A,Kathleen Kubas,
2009.01.245,Cora Kemperman gray wool coat,Costume; Garments; Coats,"Gray wool coat, unlined except for sleeves lined in gray synthetic. Large square pocket on right side. Two button closure.",Before 2009,Cora Kemperman,,Fair condition. Some pilling,,KHW64B ,Kathleen Kubas,
2009.01.246,animale gray cashmere scoopneck top ,Costume; Garments; Blouses,Gray cashmere scoopneck top with side projections.,Before 2009,animale,,Good condition.,Very unusual side projections - possibly to be used as ties?,Box 203,Kathleen Kubas,
2009.01.247A+B,Jean Crisan beige cashmere scarves with fur trim,Costume; Accessories; Scarves,Beige cashmere woven scarves with Mongolian fur trim. Two identical pieces.,Before 2009,Jean Crisan,,Near Perfect condition.,Possibly worn one over the other. Retailer label:  Joy Cherry,KHW64A,Kathleen Kubas,
2009.01.248,Adrienne Landau purple satin evening coat,Costume; Garments; Coats,"Purple satin evening coat with raglan sleeves, deep V-collar, trimmed with purple fox, lined in purple acetate. ",Before 2009,Adrienne Landau,,Very good condition.,Bold vibrant statement fur,KHW64A,Kathleen Kubas,"/home/pchurch/Programming/fashion/Marinas Images/FRC_Coats_2009.01.248_RGT_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Coats_2009.01.248_BCK_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Coats_2009.01.248_Det_2_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Coats_2009.01.248_LBL_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Coats_2009.01.248_Det_4_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Coats_2009.01.248_Det_3_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Coats_2009.01.248_F34_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Coats_2009.01.248_B34_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Coats_2009.01.248_Det_1_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Coats_2009.01.248_Det_5_Web.jpg"
2009.01.249,Black leather jacket  trimmed with ostrich feathers,Costume; Garments; Jackets,Black leather jacket with shawl collar trimmed with ostrich feathers. Cuffs also trimmed with ostrich feathers. Jacket lined in black polyester.,Before 2009,Unknown,,Very good condition.,Leather is very fine and supple.,KHW64A,Kathleen Kubas,
2009.01.250,White organza blouse with ruffled collar,Costume; Garments; Blouses,White organza blouse with ruffled collar.,1980-1990,Jackie Rogers,"Toronto, Canada.",Very good condition.,Retailer label: Joy Cherry Toronto,KHW66C,Kathleen Kubas,
2009.01.251,Issey Miyake felted wool tunic style dress ,Costume; Garments; Dress,"Multi-coloured (yellow, purple, blue and cream) felted wool tunic style dress with long sleeves and back zipper. Fabric at back of dress is draped to create vertical folds. Made in Japan. Size Small. ",Before 2009,Issey Miyake ,Japan,Fair condition: Fabric has some worn spots and some small holes. ,Very unusual draping at back of dress. Fabric is 85% wool and 15% nylon. Label warns not to hand wash.,KHW66C,Kathleen Kubas,
2009.01.252,Black wool crepe straight skirt ,Costume; Garments; Skirts,Black wool crepe straight skirt with back zipper.,Before 2009,Unknown,,Very good condition.,,KHW64A,Kathleen Kubas,
2009.01.253,"Black wool skirt, slightly gathered.",Costume; Garments; Skirts,"Black wool skirt, slightly gathered, zip closure on left hip concealed with wrap panel. Concealed front pockets.",Before 2009,Unknown,,Very good condition.,,KHW64A,Kathleen Kubas,
2009.01.254,Moschino Couture black rayon jacket with faux front pockets,Costume; Garments; Jackets; Skirts,"Black rayon jacket with beaded decorative embellishment, front faux pockets. B. Matching knee length skirt with back zipper.",Before 2009,Moschino Couture,,Very good condition.,"Beading includes motifs of ""?"", circle, square and flower",KHW66C,Kathleen Kubas,
2009.01.256,Valentino Boutique black silk blouse,Costume; Garments; Blouses,Black silk blouse with white diamond shapes on blouse front with shoulder pads. ,1980-1990,Valentino Boutique,Italy,Good condition. ,Made in Italy label.,KHW66C,Kathleen Kubas,
2009.01.257,Saint Laurent rive gauche cotton poplin V-neck top ,Costume; Garments; Blouses,Cream yellow cotton poplin V-neck top with knitted band at waist and cuffs.,1985-1995,Saint Laurent rive gauche,,Good condition. ,Sportswear inspired piece.,KHW66C,Kathleen Kubas,
2009.01.259,Frank Composto gray silk and chiffon evening dress with cap sleeves,Costume; Garments; Dress,"Gray silk and chiffon evening dress with cap sleeves, diamante beadwork in Art Deco style.",Before 2009,Frank Composto,,Good condition. ,1920s flapper style inspired.,KHW66C,Kathleen Kubas,
2009.01.260,Claude Montana gray wool dress,Costume; Garments; Dress,Gray wool long sleeved ankle-length dress with Nehru collar and asymmetrical bodice wrap.  Very large shoulder pads. Back snap closures. Slit at back of dress. ,1980-1990,Claude Montana Paris. ,Italy,Very good condition.,Interesting construction. Hem dips down in back of dress.,KHW66C,Kathleen Kubas,"/home/pchurch/Programming/fashion/Marinas Images/FRC_EveDresses_2009.01.260_LBL_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_EveDresses_2009.01.260_Det_10_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_EveDresses_2009.01.260_B34_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_EveDresses_2009.01.260_Det_12_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_EveDresses_2009.01.260_F34_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_EveDresses_2009.01.260_RGT_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_EveDresses_2009.01.260_Det_1_Web.jpg"
2009.01.266_A+B+C,Krizia maglia purple wool/mohair dress and coat,Costume; Garments; Dress,A. Purple shaggy wool and mohair long-sleeved dress with front button closure. B. Purple mohair and wool sweater coat. C. Matching wrap/collar.,1985-1995,Krizia maglia,,Good condition. ,Bold colour and texture.,Box 200,Kathleen Kubas,
2009.01.267,Claude Montana navy wool trousers,Costume; Garments; Trousers; ,Navy wool gaucho pants with black leather trim. Made in Italy.,1980-1990,Claude Montana Paris. ,Italy,Very good condition.,Matching jacket is 2009.01.393.,KHW66C,Kathleen Kubas,
2009.01.268,Ungaro Parallele Paris blue wool knee-length skirt with tulip hem,Costume; Garments; Skirts,Ultramarine blue wool knee-length skirt with tulip hem.,1990-2000,Ungaro Parallele Paris,Paris,Very good condition.,,KHW66C,Kathleen Kubas,
2009.01.269_A+B,Cream wool gathered skirt with matching shawl,Costume; Garments; Skirts; Scarves,A. Cream wool gathered skirt with back zipper. Lined in two layers of cream chiffon and cream polyester. Hem of skirt has cutwork and is scalloped B. Matching square shawl.,Before 2009,Unknown,,Good condition. ,"Wool is a loose weave. Back of skirt has insert panel of cotton, perhaps to replace damaged section.",KHW64A,Kathleen Kubas,
2009.01.270,Jean Muir Studio black wool car coat with frog closures,Costume; Garments; Coats,Black wool car coat with frog closures,1980-1990,Jean Muir Studio,"London, UK",Good condition. ,Kimono like coat.,KHW66C,Kathleen Kubas,
2009.01.271,Oscar de la Renta black velvet jacket with white silk taffeta ruffled collar and cuffs,Costume; Garments; Jackets,"Black velvet jacket with white silk taffeta ruffled collar and cuffs, satin covered buttons, faux front pockets. Made in USA label.",Before 2009,Oscar de la Renta,USA,Good condition. Slight yellowing of collar at neckline.,Luxurious velvet.,KHW66C,Kathleen Kubas,
2009.01.272,Sonia Rykiel Paris black wool cape with hood ,Costume; Garments; Capes,Black wool cape with hood and black feather trim. Closure consists of 4 Sonia Rykiel buttons near neckline. Made in Italy label.,Before 2009,Sonia Rykiel Paris,Italy,Good condition. ,Striking and dramatic sweater with cape. Small shoulder pads,Box 203,Kathleen Kubas,
2009.01.273_A+B,Bernard Perris Paris  liliac wool dress with raglan sleeves ,Costume; Garments; Dress,"A. Liliac wool tent-style dress with bow collar, raglan sleeves, matching liliac leather vest with armlet sleeves. B. Matching self-belt. ",Before 2009,Bernard Perris Paris ,,Good condition.,Made in France label.,KHW66C,Kathleen Kubas,
